UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg,entry_E,tp_off,stop_off
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-364419.3999999964,0.0,-364419.3999999964,-167149.8999999964,-219040.7655640364,51890.86556404,82065.49999999996,98270.40000000002,-167149.8999999964,326998.14159571304,202,280376,0,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-140871.75,0.0,-140871.75,12910.650000000314,-6813.721780499691,19724.371780500005,14392.199999999992,14255.249999999998,12910.650000000314,32826.88834703996,86,42828,40,-3,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,440261.27999999904,0.0,440261.27999999904,187688.15999999916,136117.7947641592,51570.36523583996,82124.63999999996,121740.47999999992,187688.15999999916,202069.40645030895,190,2243520,0,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-24575.46000000013,0.0,-24575.46000000013,-5709.84000000007,-8138.61473352007,2428.77473352,3433.62,4591.0199999999995,-5709.84000000007,8138.61473352007,10,154320,2,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-221182.04999999996,-0.0,-221182.04999999996,-42815.49999999977,-60871.68220739976,18056.182207399997,29076.9,23148.599999999995,-42815.49999999977,67945.88194620171,86,161852,0,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-106721.9999999992,0.0,-106721.9999999992,146265.7000000012,107290.1875505612,38975.51244944001,54684.0,61308.1,146265.7000000012,66686.32310731828,180,10080,0,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SOLARINDS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,785835.150000002,0.0,785835.150000002,63488.400000002264,-12052.387924437746,75540.78792444001,115467.4500000001,281168.85000000003,63488.400000002264,377808.16625154053,374,1243176,0,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SUNPHARMA,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,-824.9999999999,0.0,-824.9999999999,26301.00000000004,21304.518158000043,4996.481841999999,12287.0,18744.0,26301.00000000004,18608.197374800417,24,10560,8,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SUZLON,2025-08-01 11:25:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SYNGENE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-136679.3999999999,0.0,-136679.3999999999,16487.550000000352,3984.037627320353,12503.51237268,13089.150000000003,36639.00000000001,16487.550000000352,58780.64143026045,48,101952,24,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-29807.299999999243,0.0,-29807.299999999243,6072.5000000009495,2463.433573400949,3609.0664266,8154.499999999999,5413.2,6072.5000000009495,18003.189829679242,14,19432,0,-7,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-8602.949999999932,0.0,-8602.949999999932,5241.450000000158,3878.2843110001577,1363.1656890000002,883.95,1220.1,5241.450000000158,2495.3667567600905,6,2988,2,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-58154.40000000081,0.0,-58154.40000000081,-12280.320000000924,-17484.593175936923,5204.273175936,6523.92,7291.44,-12280.320000000924,17484.593175936923,20,236160,0,-10,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-9386.47500000002,-0.0,-9386.47500000002,3834.5750000000417,2994.8716174400415,839.70338256,1058.625,1129.2,3834.5750000000417,210.3846207800009,4,7528,0,-1,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SOLARINDS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,343244.54999999574,0.0,343244.54999999574,48197.99999999439,-3162.3467832656243,51360.346783260014,99969.3,111270.90000000004,48197.99999999439,203351.75313697325,246,817704,0,-40,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SUNPHARMA,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SUZLON,2025-08-01 11:25:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SYNGENE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-221505.89999999493,0.0,-221505.89999999493,75128.70000000653,49205.01011634652,25923.68988366001,46361.70000000001,58738.200000000026,75128.70000000653,21298.8228527405,142,189996,0,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-31096.259999999813,0.0,-31096.259999999813,96844.79999999964,65470.96773172765,31373.832268271995,39519.74,36190.7,96844.79999999964,248810.98324867443,136,1371968,40,-23,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-6270.224999999488,-0.0,-6270.224999999488,68608.14999999816,2495.0449790481507,66113.10502095001,99173.10000000003,141012.94999999998,68608.14999999816,172841.4207327663,272,417248,40,-3,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,-110057.60000000177,0.0,-110057.60000000177,67530.89999999866,28764.088439118663,38766.81156087999,46585.399999999994,55305.900000000016,67530.89999999866,99398.68143427654,166,108232,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-536984.0000000003,0.0,-536984.0000000003,-184136.74999999977,-226510.31280114973,42373.56280115001,68966.625,76867.875,-184136.74999999977,251937.69630330376,186,559860,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-684857.2500000044,0.0,-684857.2500000044,-54268.20000000455,-136186.64559360454,81918.4455936,116395.2,155795.4000000001,-54268.20000000455,309508.7841946774,344,730656,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-52206.14999999653,0.0,-52206.14999999653,244756.4500000033,180886.4364726833,63870.01352732,137411.99999999994,124902.65,244756.4500000033,348509.4931390332,258,358104,2,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-131222.9999999991,0.0,-131222.9999999991,-114154.04999999938,-133395.42601253936,19241.37601254,29506.500000000004,17691.45,-114154.04999999938,143210.35934957903,86,42828,40,-3,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-198728.6399999995,0.0,-198728.6399999995,-258713.28000000017,-344643.78007238416,85930.50007238402,133135.19999999998,142935.84000000003,-258713.28000000017,578916.0646678089,296,3495168,0,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,-6489.700000000099,-0.0,-6489.700000000099,76314.19999999998,22637.125670159963,53677.07432984002,77482.2,109266.4,76314.19999999998,187391.8557644,286,83512,40,-1,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-215739.9999999999,0.0,-215739.9999999999,131379.99999999965,81476.02143999966,49903.97855999999,54860.0,89560.0,131379.99999999965,91460.17879200212,252,201600,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-578738.5800000028,0.0,-578738.5800000028,-59528.9400000028,-107499.52780109082,47970.58780108801,95176.85999999996,98764.80000000002,-59528.9400000028,159541.35431459968,204,3148128,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-648043.1749999997,-0.0,-648043.1749999997,-226780.99999999977,-280918.36198570975,54137.361985710006,92547.35000000006,113390.5,-226780.99999999977,340173.2705855996,252,474264,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-87431.00000000013,0.0,-87431.00000000013,-129325.60000000062,-169261.3748258406,39935.77482584,21322.599999999988,23824.600000000013,-129325.60000000062,248669.85060343792,174,386976,40,-5,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-1090502.6999999993,0.0,-1090502.6999999993,641725.0000000012,440511.2021492008,201213.79785080033,327243.7,382987.5,641725.0000000012,335348.17013600003,934,52304,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,83337.50000000554,0.0,83337.50000000554,37059.37500000488,13153.524354254883,23905.850645749997,25406.875,30532.5,37059.37500000488,140251.248554,94,277300,40,-1,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,97292.24999999904,0.0,97292.24999999904,63896.24999999851,28849.439922598503,35046.810077400005,45969.0,79389.75,63896.24999999851,150296.53012770088,232,76560,40,-1,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SOLARINDS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,948752.700000001,0.0,948752.700000001,51438.9000000008,-43989.68200955916,95428.58200955996,158596.35000000012,323965.3499999999,51438.9000000008,378342.33813726134,470,1562280,0,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,-219810.2999999967,0.0,-219810.2999999967,47063.10000000332,29039.478177163313,18023.621822840003,26754.5,14702.2,47063.10000000332,20026.28665615863,82,47888,0,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SUNPHARMA,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,8821.999999999378,0.0,8821.999999999378,171665.99999999968,143171.48606199966,28494.51393800001,67397.0,96943.0,171665.99999999968,263222.53272920003,126,55440,40,-12,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SUZLON,2025-08-01 11:25:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SYNGENE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-20471.399999999787,0.0,-20471.399999999787,9901.200000000426,7715.985290700426,2185.2147093,4114.35,4649.550000000001,9901.200000000426,5900.559167340273,12,16056,0,-4,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,9356.619999999804,0.0,9356.619999999804,146931.71999999968,113392.63049285566,33539.08950714402,36165.48,46001.280000000035,146931.71999999968,61281.615323968035,142,1432496,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-5484.050000000081,-0.0,-5484.050000000081,79461.19999999924,44701.61676200925,34759.58323798999,55933.474999999984,101263.17500000005,79461.19999999924,138682.0363864,144,220896,40,-1,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-212995.12499999997,0.0,-212995.12499999997,-102490.5,-121604.91722225,19114.417222249995,26187.0,46730.25,-102490.5,195550.3346859957,80,240800,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-258623.54999999923,0.0,-258623.54999999923,-4540.049999998759,-28601.495072278765,24061.445072280007,30373.200000000004,77871.14999999995,-4540.049999998759,58631.16440988245,94,199656,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-9924.199999999182,0.0,-9924.199999999182,40286.700000000914,34920.40741836091,5366.29258164,17193.85,9698.65,40286.700000000914,11839.819968080375,22,30536,0,-7,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-135294.1500000003,0.0,-135294.1500000003,-126666.30000000028,-144824.15256732027,18157.85256732,11043.149999999994,16122.75,-126666.30000000028,148598.87223557924,82,40836,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-116663.04000000012,0.0,-116663.04000000012,2833.9199999994307,-11280.082669632571,14114.002669632002,19247.04,18656.64,2833.9199999994307,45353.66866099338,50,590400,0,-12,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,-34419.500000000015,-0.0,-34419.500000000015,99995.39999999967,55868.12698983964,44127.27301016003,66539.5,84789.5,99995.39999999967,206523.236241082,238,69496,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,17360.00000000022,0.0,17360.00000000022,26520.000000000255,12984.001024000256,13535.998976,13780.0,27780.0,26520.000000000255,38169.86465599889,66,52800,31,-1,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-232213.01999999984,0.0,-232213.01999999984,-105091.9199999998,-125244.71151513582,20152.791515136003,27970.50000000001,45022.859999999986,-105091.9199999998,136954.1574692657,82,1265424,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-157076.4249999998,-0.0,-157076.4249999998,180601.4250000007,144131.5902399307,36469.83476007001,42556.725000000035,77914.80000000002,180601.4250000007,31703.3244130705,166,312412,40,-2,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-121068.99999999936,0.0,-121068.99999999936,42534.0000000014,1328.1090601614123,41205.890939839985,23630.000000000007,24908.8,42534.0000000014,78283.79468528788,182,404768,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-695730.0,0.0,-695730.0,356020.0,275362.32155600004,80657.67844399995,157990.0,136850.0,356020.0,99425.28850799995,370,20720,40,-40,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
